2026-02-17 10:42:36 | ID: 6615658467 | Nombre: Flor | User: @taymix819
2026-02-17 10:43:34 | ID: 5486057453 | Nombre: Cris 🙂 | User: @Btescr
2026-02-17 10:43:38 | ID: 6615658467 | Nombre: Flor | User: @taymix819
2026-02-17 10:46:10 | ID: 5486057453 | Nombre: Cris 🙂 | User: @Btescr
2026-02-17 11:10:40 | ID: 5486057453 | Nombre: Cris 🙂 | User: @Btescr
2026-02-17 14:33:46 | ID: 5486057453 | Nombre: Cris 🙂 | @Btescr
2026-02-17 19:14:26 | ID: 5486057453 | Nombre: Cris 🙂 | @Btescr
2026-02-17 19:36:00 | ID: 7298916475 | Nombre: Ezequiel | @None
2026-02-18 19:13:22 | ID: 5486057453 | Nombre: Cris 🙂 | @Btescr
2026-02-18 19:51:54 | ID: 5486057453 | Nombre: Cris 🙂 | @Btescr
2026-02-18 20:06:05 | ID: 8247330320 | Nombre: Rocio | @None
2026-02-18 20:15:45 | ID: 5486057453 | Nombre: Cris 🙂 | @Btescr
2026-02-18 20:21:10 | ID: 5486057453 | Nombre: Cris 🙂 | @Btescr
2026-02-18 20:27:14 | ID: 5486057453 | Nombre: Cris 🙂 | @Btescr
2026-02-18 20:31:35 | ID: 5486057453 | Nombre: Cris 🙂 | @Btescr
2026-02-18 20:32:52 | ID: 5486057453 | Nombre: Cris 🙂 | @Btescr
2026-02-18 20:35:46 | ID: 5486057453 | Nombre: Cris 🙂 | @Btescr
2026-02-21 10:19:26 | ID: 5486057453 | Nombre: Cris 🙂 | @Btescr
2026-02-21 12:16:00 | ID: 5486057453 | Nombre: Cris 🙂 | @Btescr
2026-02-21 12:56:32 | ID: 5486057453 | Nombre: Cris 🙂 | @Btescr
2026-02-21 13:16:56 | ID: 5486057453 | Nombre: Cris 🙂 | @Btescr
2026-02-21 14:00:46 | ID: 5486057453 | Nombre: Cris 🙂 | @Btescr
2026-02-21 22:18:50 | ID: 5486057453 | Nombre: Cris 🙂 | @Btescr
2026-02-21 22:54:50 | ID: 7121293711 | Nombre: Mariana | @MarianaNarbaja
2026-02-23 08:38:46 | ID: 7994642212 | Nombre: Ferfiorenzo | @None
2026-02-23 08:38:46 | ID: 7994642212 | Nombre: Ferfiorenzo | @None
2026-02-23 08:38:49 | ID: 7994642212 | Nombre: Ferfiorenzo | @None
2026-02-23 08:40:18 | ID: 5486057453 | Nombre: Cris 🙂 | @Btescr
2026-02-23 21:05:47 | ID: 605562529 | Nombre: Manuel | @manueledro
2026-02-23 21:05:49 | ID: 605562529 | Nombre: Manuel | @manueledro
2026-02-23 21:06:34 | ID: 5486057453 | Nombre: Cris 🙂 | @Btescr
2026-02-23 21:28:42 | ID: 5486057453 | Nombre: Cris 🙂 | @Btescr
2026-02-23 21:39:48 | ID: 5486057453 | Nombre: Cris 🙂 | @Btescr
2026-02-23 21:47:49 | ID: 6096649761 | Nombre: Leila | @Leila_joanna
2026-02-23 21:52:36 | ID: 5486057453 | Nombre: Cris 🙂 | @Btescr
2026-02-23 21:59:03 | ID: 5486057453 | Nombre: Cris 🙂 | @Btescr
2026-02-23 21:59:40 | ID: 6772507864 | Nombre: Eliana | @Elianarojas93
2026-02-23 22:04:34 | ID: 5486057453 | Nombre: Cris 🙂 | @Btescr
2026-02-23 22:05:26 | ID: 5486057453 | Nombre: Cris 🙂 | @Btescr
2026-02-23 22:05:30 | ID: 5210639182 | Nombre: Aarón | @None
2026-02-23 22:23:27 | ID: 5242711619 | Nombre: Milagros | @None
